customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
102489,AL MAKKA FILL STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM 145/146 SHAHI ROADMOUZA KHANPURRAHIMYARKHAN,28.64183,70.63979,3
119467,NAZIR KALLU P/STN.,LIAQAT PUR,RAHIM YAR KHAN,BWP,PUNJAB,MOUZA RASHID ABAD LIAQAT PUR TO RYK  SHAHI ROAD RAHIMYAR KHAN LIAQAT PUR,28.81057,70.84736,3
118172,MASHA ALLAH F/STN,RAHIMYARKHAN II,BAHAWALPUR,BWP,PUNJAB,KHAN PUR - BAGHO BAHAR ROAD MAUZA MUD ILYAS RAHIM YAR KHAN,28.53425,70.63006,3
102033,ARSHAD FAROOQ PET.SER.,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM 714-715 OF N.H.WAYAT MOUZA MOHALR.Y.KHAN,28.84442,70.58601,5
102087,KHOKAR FILLING STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM 753-754 OF N.H.WAYAT MOUZA KACHI M.KHANLIAQUATR,29.08116,70.88453,4
111340,HAJI NAZAR KHAN MAUSA KHAIL PET SER,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,B/W 702 - 703 ON NATIONAL HIGHWAY AT,28.75172,70.47831,4
102378,STATE  OIL  CC.,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,PSO RETAIL DEALERTRINDA MOHD PANNAHDISTT RAHIMYAR,29.090982,70.898578,3
102386,MALIK GASOLINE SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,PSO  RETAIL DEALERNEAR BUS STANDKHANPURDIST RAHIMY,28.64955,70.64751,4
114050,ASIA F/S,BAHAWALPUR,RAHIM YAR KHAN,BWP,PUNJAB,B/W KM NO 705-706 OF NATIONAL,28.77351,70.50275,4
118904,MIAN BROTHERS F S,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM-100 SHAHI ROADMAUZA CHAUDHRY L-PURR Y KHAN,28.92362,70.93149,3
102412,SERANI PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,N/H WAY DERA JETHANRUM LIAQATPURR Y KHAN,28.98895,70.76655,3
102414,TOOR T-STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,N.H.WAY KHAN BELAMOUZA CHANJNI LIQT PURR Y KHAN,28.92409,70.69953,4
117142,NEW ALI AKBAR P S,AHMEDPUR EAST,RAHIM YAR KHAN,BWP,PUNJAB,"NATIONAL HIGHWAY, KM NO. 750-751 MAUZA MALIK PUR, TEHSIL LIAQUATPUR. RAHIM YAR KHAN AHMEDPUR EAST",29.04763,70.84319,3
